lightIsRed,distanceToGoal,performedStop
0.0,0.96,0.0
0.0,0.951,0.0
0.0,0.941,0.0
0.0,0.932,0.0
0.0,0.922,0.0
0.0,0.913,0.0
0.0,0.903,0.0
0.0,0.894,0.0
0.0,0.884,0.0
0.0,0.875,0.0
0.0,0.865,0.0
0.0,0.855,0.0
0.0,0.846,0.0
0.0,0.836,0.0
0.0,0.827,0.0
0.0,0.817,0.0
0.0,0.808,0.0
0.0,0.798,0.0
0.0,0.789,0.0
0.0,0.779,0.0
0.0,0.779,0.0
0.0,0.761,0.0
0.0,0.751,0.0
0.0,0.742,0.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
0.0,0.732,0.0
0.0,0.723,0.0
0.0,0.713,0.0
0.0,0.704,0.0
0.0,0.694,0.0
0.0,0.685,0.0
0.0,0.674,0.0
0.0,0.664,0.0
0.0,0.655,0.0
0.0,0.645,0.0
0.0,0.636,0.0
0.0,0.626,0.0
0.0,0.617,0.0
0.0,0.607,0.0
0.0,0.597,0.0
0.0,0.588,0.0
0.0,0.578,0.0
0.0,0.569,0.0
0.0,0.559,0.0
0.0,0.55,0.0
0.0,0.54,0.0
0.0,0.531,0.0
0.0,0.521,0.0
0.0,0.512,0.0
0.0,0.502,0.0
0.0,0.493,0.0
0.0,0.483,0.0
0.0,0.474,0.0
0.0,0.464,0.0
0.0,0.455,0.0
0.0,0.445,0.0
0.0,0.436,0.0
0.0,0.426,0.0
0.0,0.417,0.0
0.0,0.407,0.0
0.0,0.397,0.0
0.0,0.388,0.0
0.0,0.378,0.0
0.0,0.369,0.0
0.0,0.359,0.0
0.0,0.35,0.0
0.0,0.34,0.0
0.0,0.331,0.0
0.0,0.321,0.0
0.0,0.312,0.0
0.0,0.302,0.0
0.0,0.293,0.0
0.0,0.283,0.0
0.0,0.274,0.0
0.0,0.264,0.0
0.0,0.264,0.0
0.0,0.252,0.0
0.0,0.243,0.0
0.0,0.233,0.0
0.0,0.223,0.0
0.0,0.213,0.0
0.0,0.204,0.0
0.0,0.194,0.0
0.0,0.185,0.0
0.0,0.175,0.0
0.0,0.165,0.0
0.0,0.156,0.0
0.0,0.147,0.0
0.0,0.137,0.0
0.0,0.128,0.0
0.0,0.118,0.0
0.0,0.105,0.0
0.0,0.095,0.0
0.0,0.086,0.0
0.0,0.076,0.0
0.0,0.067,0.0
0.0,0.057,0.0
0.0,0.048,0.0
0.0,0.038,0.0
0.0,0.029,0.0
